id,userId,name,prompt,style,imageUrl,metadata,status,creditsUsed,createdAt
cmoiqsruh38lzqo0fka4s6rib,cmoilcgeq389cqo0f7wk908dj,Upscaled Image - 2x,HD Upscale,Upscale,https://cdn.sapphiresc.com/patterns/cmoilcgeq389cqo0f7wk908dj/upscale-1777387789267-06r4y3g63/hd.png,"{""tool"":""upscaler"",""scale"":2,""r2Key"":""patterns/cmoilcgeq389cqo0f7wk908dj/upscale-1777387789267-06r4y3g63/hd.png"",""originalImage"":""https://sapphiresc.com/api/temp-asset/63c58776283f2c6a181780a80a9d0065_square.png""}",GENERATED,1,2026-04-28 14:49:49.818
cmoiquc8s38m3qo0f668p1mvg,cmoilcgeq389cqo0f7wk908dj,Upscaled Image - 2x,HD Upscale,Upscale,https://cdn.sapphiresc.com/patterns/cmoilcgeq389cqo0f7wk908dj/upscale-1777387862379-rkgmdds89/hd.png,"{""tool"":""upscaler"",""scale"":2,""r2Key"":""patterns/cmoilcgeq389cqo0f7wk908dj/upscale-1777387862379-rkgmdds89/hd.png"",""originalImage"":""https://sapphiresc.com/api/temp-asset/381acc4570d382bafbca165d94d1907c_solid_red.png""}",GENERATED,1,2026-04-28 14:51:02.904
cmoirhxny38odqo0fmtqo7ex8,cmoilcgeq389cqo0f7wk908dj,SSRF Proof,ssrf,test,https://cdn.sapphiresc.com/patterns/cmoilcgeq389cqo0f7wk908dj/pat-1777388963220-cxwhq41x1/original.svg+xml,"{""width"":400,""height"":200,""resolution"":{""width"":400,""height"":200},""r2Key"":""patterns/cmoilcgeq389cqo0f7wk908dj/pat-1777388963220-cxwhq41x1/original.svg+xml""}",DRAFT,1,2026-04-28 15:09:23.758
cmoirj2op38ohqo0fi1xqc8sb,cmoilcgeq389cqo0f7wk908dj,SSRF Data Exfil Proof,ssrf-exfil,proof,https://cdn.sapphiresc.com/patterns/cmoilcgeq389cqo0f7wk908dj/pat-1777389016430-8vhebbfdf/original.svg+xml,"{""width"":800,""height"":600,""resolution"":{""width"":800,""height"":600},""r2Key"":""patterns/cmoilcgeq389cqo0f7wk908dj/pat-1777389016430-8vhebbfdf/original.svg+xml""}",DRAFT,1,2026-04-28 15:10:16.922
